extraer;area_type;grid_code
111;T;3
112;T;3
121;T;3
122;T;3
123;T;3
124;T;3
125;T;3
131;T;3
132;T;3
141;T;3
142;T;3
211;T;3
212;T;3
213;T;3
214;T;3
215;T;3
221;T;3
222;T;3
223;T;3
224;T;3
225;T;3
231;T;3
232;T;3
233;T;3
241;T;3
242;T;3
243;T;3
244;T;3
245;T;3
311;N;2
312;N;2
313;N;2
314;N;2
315;T;3
321;N;2
322;N;2
323;S;1
331;N;2
332;N;2
333;T;3
334;T;3
335;N;2
411;N;2
412;N;2
413;N;2
421;N;2
422;N;2
423;N;2
511;N;2
512;N;2
513;N;2
514;T;3
521;N;2
522;N;2
523;T;3
