;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1584;Cybianthus llanorum;27;https://www.gbif.org/species/3722537;NA;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Cybianthus
1585;Cybianthus parvifolius;8;https://www.gbif.org/species/3722212;NA;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Cybianthus
1586;Cybianthus verticilloides;24;https://www.gbif.org/species/3721687;NA;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Cybianthus
1587;Cyclodium seemannii;4;https://www.gbif.org/species/4039833;NA;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Cyclodium
1588;Cycnoches barthiorum;2;https://www.gbif.org/species/2783305;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cycnoches
1589;Cycnoches herrenhusanum;2;https://www.gbif.org/species/2783341;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cycnoches
1590;Cymbopetalum loretoyacuense;10;https://www.gbif.org/species/3157868;NA;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Cymbopetalum
1591;Cymbopetalum oppositiflorum;38;https://www.gbif.org/species/3157841;NA;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Cymbopetalum
1592;Cymbopetalum sanchezii;16;https://www.gbif.org/species/3157857;NA;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Cymbopetalum
1593;Cynodonichthys boehlkei;8;https://www.gbif.org/species/7193369;https://catalogo.biodiversidad.co/file/59dffc855f36934344302a52/summary;Animalia;Chordata;NA;Cyprinodontiformes;Rivulidae;Cynodonichthys
1594;Cynodonichthys elegans;16;https://www.gbif.org/species/7193368;NA;Animalia;Chordata;NA;Cyprinodontiformes;Rivulidae;Cynodonichthys
1595;Cynodonichthys magdalenae;285;https://www.gbif.org/species/7193379;https://catalogo.biodiversidad.co/file/596fa9de2f4fd7bc7f3a5d8a/summary;Animalia;Chordata;NA;Cyprinodontiformes;Rivulidae;Cynodonichthys
1596;Cynodonichthys pacificus;10;https://www.gbif.org/species/7193380;https://catalogo.biodiversidad.co/file/59f0c40d5f3693434430f4c6/summary;Animalia;Chordata;NA;Cyprinodontiformes;Rivulidae;Cynodonichthys
1597;Cynometra schottiana;9;https://www.gbif.org/species/2966866;NA;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Cynometra
1598;Cynopotamus atratoensis;40;https://www.gbif.org/species/2354716;https://catalogo.biodiversidad.co/file/59e3c1815f36934344306f8b/summary;Animalia;Chordata;NA;Characiformes;Characidae;Cynopotamus
1599;Cynopotamus magdalenae;7053;https://www.gbif.org/species/2354708;https://catalogo.biodiversidad.co/file/596fa4e62f4fd7bc7f3a5c99/summary;Animalia;Chordata;NA;Characiformes;Characidae;Cynopotamus
1600;Cyperus paramoensis;6;https://www.gbif.org/species/8885545;NA;Plantae;Tracheophyta;Liliopsida;Poales;Cyperaceae;Cyperus
1601;Cyphacanthus atopus;4;https://www.gbif.org/species/3772223;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Cyphacanthus
1602;Cyrtochilum albovirens;1;https://www.gbif.org/species/10814447;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1603;Cyrtochilum annulare;49;https://www.gbif.org/species/2832991;https://catalogo.biodiversidad.co/file/61e5b48a182759fd3656a2fd/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
