;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1708;Dimerandra buenaventurae;23;https://www.gbif.org/species/2815851;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dimerandra
1709;Dimerocostus cryptocalyx;39;https://www.gbif.org/species/2756988;NA;Plantae;Tracheophyta;Liliopsida;Zingiberales;Costaceae;Dimerocostus
1710;Dioclea ovalis;3;https://www.gbif.org/species/7662155;NA;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Dioclea
1711;Dioclea vallensis;12;https://www.gbif.org/species/7410615;NA;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Dioclea
1712;Diodonopsis pterygiophora;4;https://www.gbif.org/species/2783396;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Diodonopsis
1713;Diogenesia alstoniana;29;https://www.gbif.org/species/4172612;NA;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Diogenesia
1714;Diogenesia andina;8;https://www.gbif.org/species/4172587;https://catalogo.biodiversidad.co/file/61c4f0fd0e97cf6239597ca8/summary;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Diogenesia
1715;Diogenesia antioquiensis;41;https://www.gbif.org/species/4172580;NA;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Diogenesia
1716;Dioscorea caucensis;4;https://www.gbif.org/species/2754454;NA;Plantae;Tracheophyta;Liliopsida;Dioscoreales;Dioscoreaceae;Dioscorea
1717;Dioscorea flaccida;12;https://www.gbif.org/species/2755771;NA;Plantae;Tracheophyta;Liliopsida;Dioscoreales;Dioscoreaceae;Dioscorea
